Title,Price,Shipping,Condition,URL
"HP Desktop PC i7 8th Gen, up to 64GB RAM, 4TB SSD, Windows 11/10 Pro, WiFi",$513.65,N/A,N/A,https://www.ebay.com/itm/304762827171?_skw=PC&itmmeta=01K0HD0XJN9YHYA292TWZKK5RZ&hash=item46f547b1a3:g:lQIAAeSwvlRoazgk&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cJdwQUzvsjCZf6bkn502bGxPHKpH3j%2F02CPudT9HMxlHhflMFhj1HztCwxwPBB%2F3cgxmprkT%2BXu3%2FYk%2FhdzVVOWUhUuwYUL4QSu3F9n98oWa2D%2FKW2LdKLLyqcztznEwA62H6cYbqvfXEl%2ByAPhHszjGLaI4Gx16PVsXNW33UEZdUm9X4ehZNJQffyVkChKN9gJwZk8msBzY7JzwkbNMBfeVx4sT0ld5co%2BmbNsG5KXI8Ar%2BgpEFK%2FlRCc4Cc3%2FSr2OYtdHcAJM--St5v82qdA%7Ctkp%3ABFBMyNmDrYRm
"Dell Desktop PC i7, up to 32GB RAM, 3TB SSD, Windows 11/10, WiFi + BT, DVD-RW",$267.88,N/A,N/A,https://www.ebay.com/itm/304029933336?_skw=PC&itmmeta=01K0HD0XJNJKFY4K2A75Q8JHZS&hash=item46c9989f18:g:2BEAAeSweANoZhc0&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1d2Xa9kZQ4e2iBiAe%2FhmZj1bQ0bk%2B6p%2FWXJ%2BRh3Qw6KNbMGgssGn3uS1z0Adl3mOJaVg7XYuf%2ByrUdAWEzPN%2Fs2m5VrDuMADRvbAN2LrPnf1f7XDURvlZonH7qLI6znymJmF3jkZRrVZqv0CtUixBxltxaUxHaloz68nfIZdXt%2Buu5Bq1XS72A7MeGL%2Bv46CFREibE%2BzArEPjdANyNvZqFLCW9sP4Ox092%2Frj5Im%2FouuuG0%2B393AMq5rkBhdBlvNeA4eTj8vis5kd4xn4mFTgou%7Ctkp%3ABFBMyNmDrYRm
"Dell Mini Desktop PC i7, up to 32GB RAM, 2TB SSD, Windows 11/10 Pro, WiFi BT",$234.09,N/A,N/A,https://www.ebay.com/itm/293526962748?_skw=PC&itmmeta=01K0HD0XJNQMAKVPDSGGWAVYHK&hash=item445792023c:g:PpsAAeSw3EloeJWb&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1cvimy1V0jE%2BMBagIun7VnPlDE5Fsj%2BBbW%2FyZMSHVUbryTFADuF5BjuHoqgD8gEOtPIsWBULGhtxNYm9INA9BXjeYq%2FAfgRN6pQ9fRUh9yVY63oZ%2BHORe55b7uX2cIPe%2BAN4JtSNMTZLL3gxZPz1Fn4WtGt2%2By%2B0bi%2FJvq2Ud%2FAgg4yAulrGHQ8%2B0hs507jnMiWAIwX73bed7y1B6Y1V6eLIR%2BV9wFIRnxOryewa4GJODyRKQeLAeJGPAWPsBO%2Fr2mDOf%2BTIOJKqEaqTu54WAyj%7Ctkp%3ABFBMyNmDrYRm
Custom RGB Gaming Desktop PC Intel Core i7 3.40 Quad 32 GB SSD Nvidia RTX 5060,$766.00,N/A,N/A,https://www.ebay.com/itm/196815616550?_skw=PC&itmmeta=01K0HD0XJN8F69TMR57TSA73GR&hash=item2dd31ffa26:g:H7QAAOSwmQlnN1vz&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eyqq8ViWsfCpJRWMWJ2N7rYOjdQxbdDp8sh36jYVZvCR47%2FM6yionVav%2F3uSMtdPSNea39epMdttRuNIZL147tNvLMJXOSNixBEj4tePUpKfcq3MlEeLOcwZprEiJE2UO1R76ifhkqUmTwBBqAzdegPAcShRyPHyLHpt4Upmset5rnRyuH1ISyGp7Fw1%2BbakT6nfVUPuOT6TxvyCjvBRt9J3y9eAE6dXRFIVasefBL8bpWtyILnFpKHL34NRo1I3ikO6H%2B9JkOOMvcv3YAGpZI%7Ctkp%3ABFBMyNmDrYRm
"HP Desktop Computer PC i7, up to 16GB RAM, 4TB SSD, Windows 7 Pro, WiFi BT",$199.13,N/A,N/A,https://www.ebay.com/itm/302769907171?_skw=PC&itmmeta=01K0HD0XJNZ0JEEJXVYX031H8P&hash=item467e7e25e3:g:t2wAAOSwf4Rn63kC&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1dcHx2PSUhr%2BkROOJzR7a8WBFf2OGKt7PUV0QISKBfGCnE1vm4gLdTGpxTH%2FTU%2FsRihwXDI8USo9GQY2S8Prsa5iDwpMTRpr%2BnD7JIqm%2BTxhw2yL6bfcjDnBmsugMMIM01iL3sVqFHAFqn%2BSuPt2GVBaC8B2oeNMaih1wNUX3aOBfBITOa488Yy5N6tmpAp5aqNMdJo%2FagICjtgCRCMGwtrKrIwhiZjMzXP3b8y2dJELCtD%2FEbaFwm89bwuCmGMYogJxIL9oVIWvnvql8aJQTcV%7Ctkp%3ABFBMytmDrYRm
"DELL Gaming PC Desktop Computer i7, Up to 32GB RAM 2TB SSD NVIDIA Windows, WiFi",$149.00 to $509.00,+$361.90 delivery,Excellent - Refurbished,https://www.ebay.com/itm/365693293731?_skw=PC&itmmeta=01K0HD0XH5A9YAECVN5D8YXYFM&hash=item552504d4a3:g:fYAAAOSwceloXE7R&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1eEUz2CKQRz8vSXidK9JpRz30634os%2FEDj0dvpEyqUAtsRuZBkfAOqrBoT7k2A%2FpopED6s0jIM5GdLhE%2FIZajPxmBZ9t5SCdo9w8Zlm8RTvt2XNxD3vUxce6JEC%2B2UHaBaHIfgsSoHDlHo0HcbBj87pWuzPVuX85b2GVvIQQ9I9o0YdTYnirt1YcIXW%2BnFk2Z9ja1BRwUgxF7ABmT8SnWZpXthvNTt71auSteIq%2FrbXuQ%3D%3D%7Ctkp%3ABk9SR47Zg62EZg
"Gaming PC Desktop Computer i7, 32GB RAM Up to 4TB  SSD  NVIDIA GTX 1660 Super",$449.00 to $890.00,Shipping not specified,Excellent - Refurbished,https://www.ebay.com/itm/365521061658?_skw=PC&itmmeta=01K0HD0XH5YK6ZAMCYWNWCFBRT&hash=item551ac0c71a:g:MIIAAOSw5Ghn-Xuh&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1fhQL3HtzO445syA6vvWweivjQrQkvolXRUdTw%2FmvN8xpBYAN5X2BR81gG9tZF%2B6uQthunBENWZx7JyJf0xG6m39%2BWd0pBSZ95QCIghKuYKAqXedMtgL5FQsGc03mGzIsjNIjupt%2Bia8WAvAgSHScUowasBfjLoigpZgtID2NXjYk4%2BH2zTk7SG%2BycV7BiZkfGwRC9gj9qbAkDkif5Lt6nNyvQFx0guul9UnFjTwmyICw%2FDdKoROVrjy70za4KQiCg64V4fD5JWT5X7F%2BnQvZUV%7Ctkp%3ABk9SR47Zg62EZg
Custom Gaming PC - I5-8600 3.1GHz 16GB RAM 256SSD+1TB HD WIFI Radeon 2GB Win 11,$214.92,+$117.35 delivery,Pre-Owned,https://www.ebay.com/itm/197542448914?_skw=PC&itmmeta=01K0HD0XH596GF8HBG35GRA6NS&hash=item2dfe728f12:g:y3kAAeSw7hVoextE&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1cn4rf4ySpfce9IMOrIpupBGOEzR97YuXgxUJKDMR2fawthBS3XsQiss1jufdlfJ%2Ba7aVYAMQXQqcPWZNzuo3h9kp1Wo9pyvY9C4R%2BWUPyyW7LiH51Z7Jz1iSyZ0SZ%2BdJFF6hehKOSFMNuGVJfYphU6MTjPidqpDrSanvZkZZ0dDz%2ByBtTnalIK8wcNvg7hp0pppkGDHR9wq0QK00omjmrAu5EjhR52t5iNlGqj13g9%2Fg%3D%3D%7Ctkp%3ABk9SR47Zg62EZg
"Lenovo Gaming PC Desktop Computer i7, 32GB RAM,Up to 2TB SSD NVIDIA Windows WIFI",$149.00 to $539.00,+$323.65 delivery,Excellent - Refurbished,https://www.ebay.com/itm/365669633845?_skw=PC&itmmeta=01K0HD0XH5T4RS1FJX2F1GE99M&hash=item55239bcf35:g:kEIAAOSw8IFoTIPc&itmprp=enc%3AAQAKAAAA4FkggFvd1GGDu0w3yXCmi1eAhAKL7T0j6L%2FCR7xLFLAIibHVA9awAnhWaREqUYcDSlXkG8zSFbn5v8zDiJs28mnf%2FqWfYRoS4WZVnVDMiLBIcxMOTnj4sMoncnFNVORMEWBnJzQW8KWeIpiQ%2FJSaN4dGmsGJ9RJL3uZzycdAIrgN08hPFGT%2B72UH6RRIbtDx1brN%2FmPpIvoE4pTnFqR3a%2FUDklESlFR4c%2FHPq%2BZNwP2cJAG2OfQCS--0yqDG%2F6OvPTc04%2BY9qsbCktgmI4XCaAemlyEnEDj4OthSj%2FKDtJ7a%7Ctkp%3ABk9SR47Zg62EZg
"DELL Desktop Computer PC i7,up to 64GB RAM, 8TB m.2 SSD,  Windows 11 or 10, WiFi",$139.00 to $369.00,+$323.65 delivery,Excellent - Refurbished,https://www.ebay.com/itm/365119425103?_skw=PC&itmmeta=01K0HD0XH5FE67W2A92EZ4460T&hash=item5502d04a4f:g:eFsAAOSwETlnKoK~&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1d1RMTxeXmhKMOqMN1xvz7pCmf2RsRHOwXNQGFNBgLZjWTRyEY1mziajPKTYcmkDOXgJnNndBmKzsVTujkp1eJw0%2FfZh4WiepV1qxAinbkQJuwf1qA292UreujJ2JvDkIhJ3i9mXWtjh0yFlAFohspkKUgSG7Wusi1pirG8EnKctgO9B6xaJMdQpYiSddsbNnngSmJladHqMSUrUPWXAMHfoaKPr3FHgXrhEBSY2XWKjA%3D%3D%7Ctkp%3ABk9SR47Zg62EZg
